File ID,File Link,User ID,Username,Current Date,Year,Department,Academic year,Semester,Course Name,Course Type,Material Type,Lecture,Exams Type
1,https://t.me/Q4K_Database_Backup/1,5549398282,OSAMA_MO7,2023-11-22 10:16:51.061007,2024,CS,Fourth Year,First Semester,,,,,
2,https://t.me/Q4K_Database_Backup/2,1135869415,shrouk23,2023-11-22 13:42:37.820864,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Lectures,Slide,Lec,
3,https://t.me/Q4K_Database_Backup/3,1135869415,shrouk23,2023-11-22 13:42:38.451330,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Lectures,Slide,Lec,
4,https://t.me/Q4K_Database_Backup/4,1135869415,shrouk23,2023-11-22 13:42:39.468521,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Lectures,Slide,Lec,
5,https://t.me/Q4K_Database_Backup/5,1135869415,shrouk23,2023-11-22 13:42:40.133419,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Lectures,Slide,Lec,
6,https://t.me/Q4K_Database_Backup/6,1135869415,shrouk23,2023-11-22 13:42:40.717818,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Lectures,Slide,Lec,
7,https://t.me/Q4K_Database_Backup/7,1135869415,shrouk23,2023-11-22 13:47:43.820971,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Exams,,,Final
8,https://t.me/Q4K_Database_Backup/8,1135869415,shrouk23,2023-11-22 13:47:44.362646,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Exams,,,Final
9,https://t.me/Q4K_Database_Backup/9,1135869415,shrouk23,2023-11-22 13:47:44.841998,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Exams,,,Final
10,https://t.me/Q4K_Database_Backup/10,1135869415,shrouk23,2023-11-22 13:52:03.947901,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Exams,,,Practical
11,https://t.me/Q4K_Database_Backup/11,1135869415,shrouk23,2023-11-22 13:52:22.260331,2024,IT,Fourth Year,First Semester,Enterprise Architecture,Exams,,,Practical
12,https://t.me/Q4K_Database_Backup/12,1135869415,shrouk23,2023-11-22 13:58:43.055082,2024,IT,Fourth Year,First Semester,Network Management,Exams,,,Midterm
13,https://t.me/Q4K_Database_Backup/13,1135869415,shrouk23,2023-11-22 13:59:40.611321,2024,IT,Fourth Year,First Semester,Network Management,Exams,,,Practical
14,https://t.me/Q4K_Database_Backup/14,1135869415,shrouk23,2023-11-22 13:59:41.348508,2024,IT,Fourth Year,First Semester,Network Management,Exams,,,Practical
