Original Database,Backup Database
81,1
82,2
83,3
84,4
85,5
86,6
87,7
88,8
89,9
90,10
91,11
92,12
93,13
94,14
95,15
96,16
97,17
98,18
100,19
101,20
111,21
138,22
139,23
140,24
141,25
142,26
143,27
145,28
146,29
147,30
204,31
205,32
206,33
207,34
208,35
253,36
258,37
259,38
260,39
261,40
271,41
272,42
273,43
274,44
275,45
276,46
277,47
278,48
279,49
280,50
293,51
299,52
300,53
304,54
305,55
307,56
308,57
310,58
311,59
312,60
314,61
315,62
316,63
317,64
318,65
319,66
320,67
321,68
322,69
323,70
324,71
325,72
326,73
327,74
329,75
330,76
331,77
335,78
344,79
345,80
346,81
347,82
348,83
349,84
350,85
352,86
353,87
354,88
355,89
356,90
365,91
367,92
368,93
369,94
370,95
371,96
372,97
373,98
374,99
375,100
376,101
377,102
378,103
385,104
386,105
387,106
388,107
389,108
390,109
391,110
395,111
396,112
397,113
398,114
399,115
400,116
401,117
402,118
404,119
405,120
406,121
410,122
411,123
413,124
414,125
415,126
416,127
417,128
418,129
419,130
420,131
421,132
422,133
423,134
425,135
426,136
427,137
428,138
429,139
430,140
431,141
432,142
433,143
434,144
435,145
436,146
457,158
458,159
459,160
460,161
471,176
