Code,Course Name,Credirs,Group Name,Preq,Department,Year,Semester
CS101,Introduction to Computer Science,3,BcompR,0,mm,First Year,First Semester
EE101,Electronics,3,ScienceR,0,mm,First Year,First Semester
HU111,English Language I,2,HumanityR,0,mm,First Year,First Semester
HU131,Business Administration,2,HumanityE,0,mm,First Year,First Semester
HU152,History of Computing,2,HumanityR,0,mm,First Year,First Semester
M000,Mathematics 0/Biology 0,0,UniversityX,0,mm,First Year,First Semester
MA101,Mathematics I,3,ScienceR,0,mm,First Year,First Semester
PH101,Physics I,3,ScienceR,0,mm,First Year,First Semester
CS141,Programming Fundamentals,3,BcompR,CS101,mm,First Year,Second Semester
EE102,Digital logic and design,2,ScienceR,EE101,mm,First Year,Second Semester
HU112,English Language II,2,HumanityR,0,mm,First Year,Second Semester
HU132,Interpersonal Communication,2,HumanityE,0,mm,First Year,Second Semester
HU154,Scientific Thinking,1,HumanityE,0,mm,First Year,Second Semester
HU241,Computers and Ethics,1,HumanityE,0,mm,First Year,Second Semester
IS101,Foundations of Information Systems,3,BcompR,CS101,mm,First Year,Second Semester
MA102,Mathematics II,3,ScienceR,MA101,mm,First Year,Second Semester
CS201,Discrete Structures,3,ScienceR,MA101,mm,Second Year,First Semester
CS241,Object-Oriented Programming,3,BcompR,CS141,mm,Second Year,First Semester
IS211,Databases,3,BcompR,IS101,mm,Second Year,First Semester
IS231,Systems Analysis and Design,3,BcompR,IS101,mm,Second Year,First Semester
IT251,Data Communications,3,BcompR,CS101,mm,Second Year,First Semester
MA201,Mathematics III,3,ScienceR,MA102,mm,Second Year,First Semester
CS211,Data Structures and Algorithms,3,BcompR,CS241,mm,Second Year,Second Semester
CS221,Computer Architecture,3,BcompR,"CS141,CS201",mm,Second Year,Second Semester
CS301,Operation Reasearch,3,BcompR,0,mm,Second Year,Second Semester
EE201,Digital Signal Processing,2,ScienceR,"EE101,EE102",mm,Second Year,Second Semester
HU232,Technical Writing,2,HumanityR,HU111,mm,Second Year,Second Semester
IS221,Project Management,2,BcompR,"IS101,IS231",mm,Second Year,Second Semester
MA202,Probability and Statistics,2,ScienceR,MA102,mm,Second Year,Second Semester
IT271,Web Programming,3,SpecialR,"CS141,IT251",mm,Third Year,First Semester
CS351,Computer Graphics Fundamental,3,BcompR,"CS101,CS201",mm,Third Year,First Semester
CS391,Software Engineering,3,BcompR,CS211,mm,Third Year,First Semester
CS352,Image Processing,3,SpecialR,CS351,mm,Third Year,First Semester
MM301,Introduction to Multimedia Technology,3,SpecialR,CS241,mm,Third Year,First Semester
MM321,3D Modeling and Animation,3,SpecialR,CS101,mm,Third Year,First Semester
CS322,Operating Systems,3,BcompR,CS221,mm,Third Year,Second Semester
CS302,Simulation and Modeling,3,SpecialR,MM301,mm,Third Year,Second Semester
IT351,Computer Networks,3,BcompR,IT251,mm,Third Year,Second Semester
MM302,Introduction to Digital Video,3,SpecialR,CS352,mm,Third Year,Second Semester
MM352,Game Programming,3,SpecialR,MM301,mm,Third Year,Second Semester
CS381,Software Development,3,BcompR,CS391,mm,Third Year,Second Semester
CS452,Computer Vision,3,SpecialE,CS352,mm,Fourth Year,First Semester
MM423,Foundations of Game Production,3,SpecialE,MM321,mm,Fourth Year,First Semester
MM401,Interactive Multimedia Development,3,SpecialR,MM301,mm,Fourth Year,First Semester
MM422,Principles of 2D Animation,3,SpecialR,MM301,mm,Fourth Year,First Semester
MM452,Computer Animation,3,SpecialR,MM301,mm,Fourth Year,First Semester
PRO401,Capstone Project 1,3,Training,0,mm,Fourth Year,First Semester
PRO402,Capstone Project 2,3,Training,PRO401,mm,Fourth Year,Second Semester
CS261,Artificial Intelligence,3,BcompR,"CS101,CS201",mm,,
HU231,Organizational Behavior,2,HumanityE,0,mm,,
MA203,Numerical Analysis,2,ScienceR,MA102,mm,,
CS432,Cloud Computing,3,SpecialE,CS322,mm,,
CS453,Advanced Computer Graphics,3,SpecialE,CS351,mm,,
CS463,Pattern Recognition,3,SpecialE,CS261,mm,,
IT412,Ethical hacking for system administration,3,SpecialE,CS101,mm,,
IT442,Advanced programming for IT,3,SpecialE,IT351,mm,,
IT472,Scripting for system administration,3,SpecialE,IT351,mm,,
MM403,Digital Sound,3,SpecialE,MM301,mm,,
MM413,Human Factors and Security,3,SpecialE,MM311,mm,,
MM416,3d user interfaces and augmented reality,3,SpecialE,MM311,mm,,
MM421,3D Photography and Geometry Processing,3,SpecialE,MM301,mm,,
MM424,Game Modification and development,3,SpecialE,MM321,mm,,
MM425,Game Development,3,SpecialE,MM321,mm,,
MM431,Introduction to Robotics,3,SpecialE,CS351,mm,,
MM303,Virtual Reality,3,SpecialR,CS352,mm,,
MM311,Human Computer Interaction,3,SpecialR,CS352,mm,,
MM411,Scripting and Storyboarding,3,SpecialR,MM301,mm,,
MM414,Designing Interaction,3,SpecialR,MM311,mm,,
MM415,Programming Interactive Systems,3,SpecialR,MM311,mm,,
MM441,Speech Processing,3,SpecialR,IT312,mm,,
TR304,Trainning,3,Training,0,mm,,
HU105,Social issues and human rights,0,University,0,mm,,
HU121,Social Context of Computing,2,HumanityE,0,mm,,
HU122,Intellectual Property,2,HumanityE,0,mm,,
HU133,Computing Economics,2,HumanityE,0,mm,,
HU141,Computer Law,2,HumanityR,0,mm,,
HU142,Human rights and anti-corruption,2,HumanityR,0,mm,,
